feature,validation_loss,test_loss
mean_F2_bandwidth,0.05694635085761547,1.3402372598648071
mean_harmonic_difference_H1_A3,0.07854447096586227,1.2768453870500838
50th_percentile_pitch_semitone,0.08112236306071281,0.9124358892440796
mean_harmonic_difference_H1_H2,0.05618841476738453,1.2687741262572152
mean_spectral_slope_500_1500_voiced,0.05945835895836353,1.309493098940168
cv_mfcc3,0.052828273326158526,0.8279542199202946
cv_spectral_flux,0.05506767615675926,1.2664504902703422
cv_HNR,0.024529007636010645,0.4992932251521519
cv_F2,0.053809155970811845,1.3865831068583898
cv_F3_bandwidth,0.05109914019703865,1.8690544707434518
loudness,0.059271843396127226,1.3027225690228599
logHNR,0.05709894180297852,1.1643735596111842
