feature,validation_loss,test_loss
mean_F2_bandwidth,0.06265410900115967,1.1660852474825723
mean_harmonic_difference_H1_A3,0.05348673813045025,1.177300444671086
50th_percentile_pitch_semitone,0.06662240520119667,1.1831246465444565
mean_harmonic_difference_H1_H2,0.0598532522469759,1.123173666851861
mean_spectral_slope_500_1500_voiced,0.05421040788292885,1.126425632408687
cv_mfcc3,0.012702468782663345,3.1410466336778233
cv_spectral_flux,0.05362359926104546,1.0806879912103926
cv_HNR,0.019829477239400147,1.8868546932935715
cv_F2,0.06467489674687385,1.3484430994306291
cv_F3_bandwidth,0.05495615005493164,1.1478744617530279
loudness,0.05018569983541966,1.1343828695161002
logHNR,0.06461234666407108,1.3275853736060006
