block,feature,validation_loss,test_loss
block_2,mean_F2_bandwidth,0.5959617409789771,0.8850669914649593
block_2,mean_harmonic_difference_H1_A3,0.5883293942924132,0.837323822081089
block_2,50th_percentile_pitch_semitone,0.39788179164915755,0.7589138769027259
block_2,mean_harmonic_difference_H1_H2,0.4694533648720959,0.6395416090057956
block_2,mean_spectral_slope_500_1500_voiced,0.6349712620178859,0.7482301054729356
block_2,cv_mfcc3,0.49603029183569575,2.4341197785947264
block_2,cv_spectral_flux,0.23407780196060213,0.20641132687321967
block_2,cv_HNR,1.2038466214774208,0.04148917781033864
block_2,cv_F2,0.64504180142754,0.9738158815436893
block_2,cv_F3_bandwidth,0.68087070626125,0.9244925350778632
block_2,loudness,0.5763013459611357,0.5706600850034091
block_2,logHNR,0.3665221450621622,0.5309989913884137
block_3,mean_F2_bandwidth,0.5948908746242523,0.871392691300975
block_3,mean_harmonic_difference_H1_A3,0.5929949854026761,0.8138427500509553
block_3,50th_percentile_pitch_semitone,0.3976283060092675,0.7025059407007777
block_3,mean_harmonic_difference_H1_H2,0.475723817160255,0.6330541128085719
block_3,mean_spectral_slope_500_1500_voiced,0.5693689032081972,0.8316261041909456
block_3,cv_mfcc3,0.31324909909938775,2.405333051406261
block_3,cv_spectral_flux,0.22831302507404697,0.22544367580364147
block_3,cv_HNR,0.8746123984178299,0.19260039802045664
block_3,cv_F2,0.5689560957122267,1.0179222118523386
block_3,cv_F3_bandwidth,0.6624163843037789,0.9496436969687542
block_3,loudness,0.5244913342229107,0.638600318847845
block_3,logHNR,0.3470437576373418,0.5403161990559764
block_4,mean_F2_bandwidth,0.5155659132882169,0.948096869720353
block_4,mean_harmonic_difference_H1_A3,0.5334649952357275,0.9037433464287056
block_4,50th_percentile_pitch_semitone,0.37386197343207245,0.7812088882912778
block_4,mean_harmonic_difference_H1_H2,0.4340927261009551,0.6632943387246795
block_4,mean_spectral_slope_500_1500_voiced,0.5267900309541769,0.9004312391496367
block_4,cv_mfcc3,0.3758054752254107,2.3835474455004766
block_4,cv_spectral_flux,0.2161448514513802,0.23074455579949749
block_4,cv_HNR,1.0451268807118923,0.08490850061126468
block_4,cv_F2,0.5686876840758742,1.0411092382338312
block_4,cv_F3_bandwidth,0.5969365332733121,1.0288360665241878
block_4,loudness,0.4925619773174587,0.6761606005537841
block_4,logHNR,0.3344626227753204,0.5500994277083211
block_5,mean_F2_bandwidth,0.5031156708273972,1.0017393314176135
block_5,mean_harmonic_difference_H1_A3,0.5582328383859835,0.8443562874777449
block_5,50th_percentile_pitch_semitone,0.3825765416810387,0.7148535911821656
block_5,mean_harmonic_difference_H1_H2,0.42003684090940574,0.6903301698880063
block_5,mean_spectral_slope_500_1500_voiced,0.5347272822208572,0.9023027104429073
block_5,cv_mfcc3,0.37875416814431284,2.3439627232922553
block_5,cv_spectral_flux,0.2135918533854317,0.25780714489519596
block_5,cv_HNR,0.8749666067853309,0.275134862995603
block_5,cv_F2,0.538116180426196,1.0386197372443147
block_5,cv_F3_bandwidth,0.5855551415890978,1.0611718263891008
block_5,loudness,0.5286868796536797,0.6429319549351931
block_5,logHNR,0.32059169887450706,0.5921937868826919
block_6,mean_F2_bandwidth,0.5109705109345285,0.9679280060033003
block_6,mean_harmonic_difference_H1_A3,0.5259730406497655,0.9009438339206908
block_6,50th_percentile_pitch_semitone,0.35246109663133035,0.7851828563337525
block_6,mean_harmonic_difference_H1_H2,0.41380553771006434,0.6913734113590585
block_6,mean_spectral_slope_500_1500_voiced,0.4955067679024579,0.9593087763835987
block_6,cv_mfcc3,0.33148675549840717,2.3538961751037277
block_6,cv_spectral_flux,0.20172958243311498,0.23933237625492942
block_6,cv_HNR,0.8857174341583199,0.15912755645371768
block_6,cv_F2,0.551913001296813,1.0735572481320963
block_6,cv_F3_bandwidth,0.5675272849568149,1.0677432186073728
block_6,loudness,0.5024011235488088,0.6808360285229154
block_6,logHNR,0.30993595476213254,0.6162113183074527
block_7,mean_F2_bandwidth,0.48766913414001467,1.031865180366569
block_7,mean_harmonic_difference_H1_A3,0.5065892554688872,0.9497732358674208
block_7,50th_percentile_pitch_semitone,0.3338312544320759,0.8153381083005419
block_7,mean_harmonic_difference_H1_H2,0.40705780925457935,0.7486053055359257
block_7,mean_spectral_slope_500_1500_voiced,0.507787683553863,0.9316878664410777
block_7,cv_mfcc3,0.3332128225564303,2.360483950146267
block_7,cv_spectral_flux,0.19712132312226713,0.2628676674018304
block_7,cv_HNR,0.9351954010658359,0.27744596937878263
block_7,cv_F2,0.5280304915549462,1.1167291688422363
block_7,cv_F3_bandwidth,0.5644433156440133,1.0638070073392656
block_7,loudness,0.4846574237210709,0.7492886971578829
block_7,logHNR,0.3227090349061447,0.5831088208489947
block_8,mean_F2_bandwidth,0.49300697665465504,1.080484754095475
block_8,mean_harmonic_difference_H1_A3,0.523021180221909,0.9199867203003831
block_8,50th_percentile_pitch_semitone,0.3409394445126517,0.7848093193024397
block_8,mean_harmonic_difference_H1_H2,0.4103852192037984,0.7337560305992762
block_8,mean_spectral_slope_500_1500_voiced,0.5220408756481973,0.8951605904019542
block_8,cv_mfcc3,0.3558133523126966,2.3416427608074932
block_8,cv_spectral_flux,0.18570662789177475,0.27513087540864944
block_8,cv_HNR,0.8432562367729189,0.16605712219865787
block_8,cv_F2,0.5568059415670863,1.0886872327990003
block_8,cv_F3_bandwidth,0.5416165796811121,1.1015060345331829
block_8,loudness,0.4890255168341754,0.7146365890900294
block_8,logHNR,0.3094547933653781,0.6493873548590474
