block,feature,validation_loss,test_loss
block_2,mean_F2_bandwidth,0.3315888291055506,1.4135946532090504
block_2,mean_harmonic_difference_H1_A3,0.3065545003522526,1.0356903374195099
block_2,50th_percentile_pitch_semitone,0.20856344056400386,0.7721338818470637
block_2,mean_harmonic_difference_H1_H2,0.463238698515025,1.041625330845515
block_2,mean_spectral_slope_500_1500_voiced,0.3136929954317483,0.7229476273059845
block_2,cv_mfcc3,0.01600072037597949,4.432648879243061
block_2,cv_spectral_flux,0.34426516633142124,0.8432421485582987
block_2,cv_HNR,0.35857161540876736,1.910756918291251
block_2,cv_F2,0.4813249842687087,1.0026005705197651
block_2,cv_F3_bandwidth,0.3374550234187733,1.0907923380533855
block_2,loudness,0.4196335951035673,1.026508132616679
block_2,logHNR,0.23805220289663834,0.8224261105060577
block_3,mean_F2_bandwidth,0.23073646070604975,1.4207459290822346
block_3,mean_harmonic_difference_H1_A3,0.2998561452735554,0.905784398317337
block_3,50th_percentile_pitch_semitone,0.15298141725361347,0.7680402646462122
block_3,mean_harmonic_difference_H1_H2,0.3623012060468847,1.0350272158781688
block_3,mean_spectral_slope_500_1500_voiced,0.20907688547264447,0.7270249823729197
block_3,cv_mfcc3,0.01570741989946162,4.444610162366492
block_3,cv_spectral_flux,0.21315390718254176,1.0103232264518738
block_3,cv_HNR,0.25363248434256425,1.9285335093736649
block_3,cv_F2,0.2304403135045008,1.1713718871275585
block_3,cv_F3_bandwidth,0.26623297008601104,1.2193755010763805
block_3,loudness,0.2653331445022063,1.2759473423163097
block_3,logHNR,0.21622184257615695,0.7765807658433914
block_4,mean_F2_bandwidth,0.2138358032838865,1.486443191766739
block_4,mean_harmonic_difference_H1_A3,0.2059877882288261,1.009589026371638
block_4,50th_percentile_pitch_semitone,0.20897268046709624,0.6688199937343597
block_4,mean_harmonic_difference_H1_H2,0.2548860917714509,1.2092282672723134
block_4,mean_spectral_slope_500_1500_voiced,0.25316345962611114,0.7657064497470856
block_4,cv_mfcc3,0.015007946407422423,4.433813146742371
block_4,cv_spectral_flux,0.20607551661404697,0.9898734341065089
block_4,cv_HNR,0.2049920748580586,1.9971231780946255
block_4,cv_F2,0.24197914078831673,1.1515599091847737
block_4,cv_F3_bandwidth,0.239739772609689,1.1658603648344676
block_4,loudness,0.2682511572810737,1.274772157271703
block_4,logHNR,0.14690177328884602,0.9511609574158987
block_5,mean_F2_bandwidth,0.22413776069879532,1.3975022931893666
block_5,mean_harmonic_difference_H1_A3,0.22911721467971802,0.9142071207364401
block_5,50th_percentile_pitch_semitone,0.15774568204175343,0.6875838339328766
block_5,mean_harmonic_difference_H1_H2,0.26415134932507167,1.1259482701619465
block_5,mean_spectral_slope_500_1500_voiced,0.18483302809975363,0.8563542912403742
block_5,cv_mfcc3,0.011716030040671203,4.444429070999225
block_5,cv_spectral_flux,0.26958079771562055,0.9639035363992056
block_5,cv_HNR,0.3004476605829867,1.942180576423804
block_5,cv_F2,0.25113016265359794,1.1873168051242828
block_5,cv_F3_bandwidth,0.23169552060690793,1.2022956510384877
block_5,loudness,0.29281971806829626,1.2665654023488362
block_5,logHNR,0.1716511964120648,0.8880903224150339
block_6,mean_F2_bandwidth,0.20547174222090028,1.4438467025756836
block_6,mean_harmonic_difference_H1_A3,0.18926906407895414,1.008998264869054
block_6,50th_percentile_pitch_semitone,0.19595616988160394,0.6687341183423996
block_6,mean_harmonic_difference_H1_H2,0.20756548270583153,1.2440952857335408
block_6,mean_spectral_slope_500_1500_voiced,0.17344801398840817,0.8263587951660156
block_6,cv_mfcc3,0.011529571323824877,4.4166743906680495
block_6,cv_spectral_flux,0.16805157844315877,1.0519104599952698
block_6,cv_HNR,0.19474185681478542,1.9564841277897358
block_6,cv_F2,0.25788368352434854,1.2727120021979015
block_6,cv_F3_bandwidth,0.2050801237875765,1.3742883503437042
block_6,loudness,0.2457848685708913,1.2777475615342457
block_6,logHNR,0.1663416170261123,0.934788167476654
block_7,mean_F2_bandwidth,0.20326192101294344,1.3952819506327312
block_7,mean_harmonic_difference_H1_A3,0.1886274784126065,0.9678634727994601
block_7,50th_percentile_pitch_semitone,0.16750501773574136,0.7998129973808924
block_7,mean_harmonic_difference_H1_H2,0.2032311741601337,1.2414072056611378
