feature,validation_loss,test_loss
mean_F2_bandwidth,0.054210595532574436,1.2155800064404805
mean_harmonic_difference_H1_A3,0.05930283343927427,1.135272393623988
50th_percentile_pitch_semitone,0.06898697245527398,1.572500189145406
mean_harmonic_difference_H1_H2,0.05156829936260527,1.1802053948243458
mean_spectral_slope_500_1500_voiced,0.05832073388790542,1.2118827799956005
cv_mfcc3,0.007559489337092435,4.04777009296231
cv_spectral_flux,0.04194087149914016,1.4084718426068623
cv_HNR,0.0021270487023602154,4.064377636338274
cv_F2,0.05869274781170217,1.353727122147878
cv_F3_bandwidth,0.05960176715796644,1.143488883972168
loudness,0.05157029442489147,1.169966275493304
logHNR,0.06618414472111246,1.131352757414182
