feature,validation_loss,test_loss
mean_F2_bandwidth,0.06752248644828797,0.9760750702449253
mean_harmonic_difference_H1_A3,0.058575686886906626,1.1977451699120658
50th_percentile_pitch_semitone,0.06181514799594879,0.8575995223862785
mean_harmonic_difference_H1_H2,0.05830856278538704,1.1234621810061591
mean_spectral_slope_500_1500_voiced,0.05847144544124603,1.1313447526523046
cv_mfcc3,0.029708384051918984,1.7653455202068602
cv_spectral_flux,0.06577898971736432,1.1717346736363001
cv_HNR,0.04338700525462627,0.534052527908768
cv_F2,0.04909407764673233,1.2969615374292647
cv_F3_bandwidth,0.050941936671733856,1.2284672941480363
loudness,0.06370638638734817,1.1545584286962236
logHNR,0.059853271543979646,1.0572109413998467
