block,feature,validation_loss,test_loss
block_2,mean_F2_bandwidth,0.5168316774070263,0.9948565776531513
block_2,mean_harmonic_difference_H1_A3,0.4532330913039354,0.8853317361611587
block_2,50th_percentile_pitch_semitone,0.5323263557197956,0.5864709420846059
block_2,mean_harmonic_difference_H1_H2,0.5331172602107892,1.0638891492898648
block_2,mean_spectral_slope_500_1500_voiced,0.4791436708317353,0.7336358107053317
block_2,cv_mfcc3,0.71449674343547,0.20664021344139025
block_2,cv_spectral_flux,0.5312570794843711,0.6994867737476642
block_2,cv_HNR,0.6195246549323201,1.4297997702199678
block_2,cv_F2,0.4995608484515777,1.0009746093016405
block_2,cv_F3_bandwidth,0.5318140037930928,1.1052677172880907
block_2,loudness,0.5938473286537024,0.7357690678193018
block_2,logHNR,0.33746732914677036,0.6623030213209299
block_3,mean_F2_bandwidth,0.4122845484660222,1.1278117069831262
block_3,mean_harmonic_difference_H1_A3,0.4811736528690045,0.8594196576338547
block_3,50th_percentile_pitch_semitone,0.4119626342390592,0.633356049656868
block_3,mean_harmonic_difference_H1_H2,0.5193484683449452,1.1820750053112323
block_3,mean_spectral_slope_500_1500_voiced,0.4824748712663467,0.7360053199988145
block_3,cv_mfcc3,0.30571322651723254,0.49939019634173465
block_3,cv_spectral_flux,0.4729054234921932,0.716046535051786
block_3,cv_HNR,0.4564314001383117,1.6013453528285027
block_3,cv_F2,0.4517396774429541,1.0533455931223357
block_3,cv_F3_bandwidth,0.43773721989530784,1.2428339077876165
block_3,loudness,0.5813047705361476,0.7379832542859591
block_3,logHNR,0.3440342236023683,0.6816989848246942
block_4,mean_F2_bandwidth,0.40828154895168084,1.0730815392274122
block_4,mean_harmonic_difference_H1_A3,0.43494487496522755,0.9948672881493201
block_4,50th_percentile_pitch_semitone,0.415082303663859,0.5774862720416143
block_4,mean_harmonic_difference_H1_H2,0.49662612923062766,1.1479880259587214
block_4,mean_spectral_slope_500_1500_voiced,0.4235286850195665,0.8710926312666672
block_4,cv_mfcc3,0.07109669592374793,0.39616820903924793
block_4,cv_spectral_flux,0.46080515877558637,0.7181631028652191
block_4,cv_HNR,0.5298544498733603,1.5431008751575763
block_4,cv_F2,0.49754567501636654,0.9856285246518942
block_4,cv_F3_bandwidth,0.45736755946507823,1.2513605539615338
block_4,loudness,0.5529087231709406,0.750575602054596
block_4,logHNR,0.33123331832197994,0.6943157590352572
block_5,mean_F2_bandwidth,0.43224604026629376,1.0369800329208374
block_5,mean_harmonic_difference_H1_A3,0.43553056625219494,0.9777658581733704
block_5,50th_percentile_pitch_semitone,0.36962876540537065,0.5982810854911804
block_5,mean_harmonic_difference_H1_H2,0.48386134350529086,1.2591004784290607
block_5,mean_spectral_slope_500_1500_voiced,0.4262606856914667,0.8900428918691782
block_5,cv_mfcc3,0.007492179037609066,0.24972104037610385
block_5,cv_spectral_flux,0.4864608376072003,0.7167260807294112
block_5,cv_HNR,0.5170014695479319,1.7579086617781565
block_5,cv_F2,0.4265438120525617,1.0337289732236128
block_5,cv_F3_bandwidth,0.4057376559537191,1.2753637983248785
block_5,loudness,0.4979817574987045,0.8562846092077402
block_5,logHNR,0.3126324899494648,0.7086869363601391
block_6,mean_F2_bandwidth,0.41590444199167764,1.0373687423192537
block_6,mean_harmonic_difference_H1_A3,0.47700588347820133,0.9213140652729914
block_6,50th_percentile_pitch_semitone,0.35513297840952873,0.7310333378039874
block_6,mean_harmonic_difference_H1_H2,0.4670343507940953,1.228781711596709
block_6,mean_spectral_slope_500_1500_voiced,0.3891160086943553,0.9489359649328085
block_6,cv_mfcc3,0.043533377474747025,0.6762462825729296
block_6,cv_spectral_flux,0.4568699575387515,0.7676300956652715
block_6,cv_HNR,0.5166297733353881,1.6503925283367817
block_6,cv_F2,0.44030506221147686,1.0720157073094294
block_6,cv_F3_bandwidth,0.3924269982828544,1.346362760433784
block_6,loudness,0.5277557287078637,0.8312725860338944
block_6,logHNR,0.30626011152680105,0.7231671626751239
