block,feature,validation_loss,test_loss
block_2,mean_F2_bandwidth,0.41448025473139505,1.357517530520757
block_2,mean_harmonic_difference_H1_A3,0.5293361436236989,1.0837656557559967
block_2,50th_percentile_pitch_semitone,0.4884567057544535,0.835606207450231
block_2,mean_harmonic_difference_H1_H2,0.3939270803874189,1.1899106701215107
block_2,mean_spectral_slope_500_1500_voiced,0.4813868057998744,1.0682965020338695
block_2,cv_mfcc3,0.43121937730095605,0.7169270838300387
block_2,cv_spectral_flux,0.5792548527771776,0.8182746767997742
block_2,cv_HNR,0.5550013533370062,0.5784374152620634
block_2,cv_F2,0.45786857266317715,1.1419632037480671
block_2,cv_F3_bandwidth,0.5204626592722806,1.1825933406750362
block_2,loudness,0.09111959537999197,0.12120511382818222
block_2,logHNR,0.44745179265737534,1.1930417617162068
block_3,mean_F2_bandwidth,0.36460868743332947,1.3893981675306957
block_3,mean_harmonic_difference_H1_A3,0.3604687750339508,1.1155446072419484
block_3,50th_percentile_pitch_semitone,0.39650011536749924,0.892796461780866
block_3,mean_harmonic_difference_H1_H2,0.38609958643263037,1.1454588770866394
block_3,mean_spectral_slope_500_1500_voiced,0.3766112556173043,1.1786064604918163
block_3,cv_mfcc3,0.45630580237643287,0.3943374852339427
block_3,cv_spectral_flux,0.4833816852081906,0.9462304512659708
block_3,cv_HNR,0.10883062188936905,0.6311424747109413
block_3,cv_F2,0.35419026897712186,1.2933396995067596
block_3,cv_F3_bandwidth,0.46935306692665274,1.135941614707311
block_3,loudness,0.08860571292990987,0.13815444832046828
block_3,logHNR,0.3408572565425526,1.2553331355253856
block_4,mean_F2_bandwidth,0.30437632311474194,1.4321031769116719
block_4,mean_harmonic_difference_H1_A3,0.40834635123610497,0.9766912758350372
block_4,50th_percentile_pitch_semitone,0.3669906715777787,1.1260842978954315
block_4,mean_harmonic_difference_H1_H2,0.3169385519894687,1.1054700811704
block_4,mean_spectral_slope_500_1500_voiced,0.3459868045015769,1.1738756895065308
block_4,cv_mfcc3,0.32643016800284386,0.5564256645739079
block_4,cv_spectral_flux,0.4008500108664686,1.0285263160864513
block_4,cv_HNR,0.09207357517020269,0.388634425898393
block_4,cv_F2,0.3341069065711715,1.3130737940470378
block_4,cv_F3_bandwidth,0.4580194740132852,1.2358940641085308
block_4,loudness,0.0772010927003893,0.15757613629102707
block_4,logHNR,0.313589410348372,1.2845006585121155
block_5,mean_F2_bandwidth,0.3526587743650783,1.4124862452348073
block_5,mean_harmonic_difference_H1_A3,0.37235359712080524,1.0382707516352336
block_5,50th_percentile_pitch_semitone,0.42166622524911707,1.0778416047493617
block_5,mean_harmonic_difference_H1_H2,0.3021289591084827,1.1806739171346028
block_5,mean_spectral_slope_500_1500_voiced,0.4175830717113885,1.0619572897752125
block_5,cv_mfcc3,0.22389366020533172,0.8055276870727539
block_5,cv_spectral_flux,0.35634802823716943,1.0823011596997578
block_5,cv_HNR,0.10490898855707863,0.3855660284558932
block_5,cv_F2,0.3875201710245826,1.2679440279801686
block_5,cv_F3_bandwidth,0.46609016812660475,1.2342235346635182
block_5,loudness,0.08225363797762177,0.14625922217965126
block_5,logHNR,0.29657466235485946,1.4007770816485088
block_6,mean_F2_bandwidth,0.2993737459182739,1.5017367700735729
block_6,mean_harmonic_difference_H1_A3,0.3474537022411823,1.049390623966853
block_6,50th_percentile_pitch_semitone,0.29681685397570784,1.0952984889348347
block_6,mean_harmonic_difference_H1_H2,0.3166945149952715,1.1374077101548512
block_6,mean_spectral_slope_500_1500_voiced,0.3405204613439061,1.1580160359541576
block_6,cv_mfcc3,0.3449641515246846,0.7546149988969167
block_6,cv_spectral_flux,0.36633259819989855,1.0998567541440327
block_6,cv_HNR,0.035273883915082974,0.4728074371814728
block_6,cv_F2,0.3268914459781213,1.3017436464627583
block_6,cv_F3_bandwidth,0.3996642916039987,1.1758346458276112
block_6,loudness,0.07464383644136516,0.15436104436715445
block_6,logHNR,0.2929656519131227,1.3595448732376099
block_7,mean_F2_bandwidth,0.30551920898936014,1.4883317947387695
block_7,mean_harmonic_difference_H1_A3,0.36618307571519504,0.9795253674189249
block_7,50th_percentile_pitch_semitone,0.2936659577217969,0.9490182449420294
block_7,mean_harmonic_difference_H1_H2,0.26147146793929016,1.1403044164180756
block_7,mean_spectral_slope_500_1500_voiced,0.3845070834186944,1.1380493938922882
block_7,cv_mfcc3,0.2690004884180697,0.8411060273647308
block_7,cv_spectral_flux,0.3404044061899185,1.0025981863339741
block_7,cv_HNR,0.03603079288520596,0.5525036106506983
block_7,cv_F2,0.3232822106643157,1.2699943383534749
block_7,cv_F3_bandwidth,0.3790754283016378,1.1844659745693207
block_7,loudness,0.06708680804480206,0.1811743974685669
block_7,logHNR,0.31715136173773895,1.3906432588895161
block_8,mean_F2_bandwidth,0.3230297484181144,1.4848806460698445
block_8,mean_harmonic_difference_H1_A3,0.3566064990379594,1.0241584380467732
block_8,50th_percentile_pitch_semitone,0.30999287082390353,0.9048013389110565
block_8,mean_harmonic_difference_H1_H2,0.24944847686724228,1.2450220982233684
block_8,mean_spectral_slope_500_1500_voiced,0.35460635884241626,1.1781099239985149
block_8,cv_mfcc3,0.36343085596507246,0.7129351645708084
block_8,cv_spectral_flux,0.3599629110910676,1.0931884447733562
block_8,cv_HNR,0.0568870006298477,0.5070758561293284
block_8,cv_F2,0.31201412562619557,1.341371476650238
block_8,cv_F3_bandwidth,0.38908722454851324,1.2591456174850464
block_8,loudness,0.06791810475459154,0.1605015608171622
block_8,logHNR,0.294380973008546,1.3619402050971985
